id,handle,sku,composite_name,composite_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,active_online,weight,weight_unit,length,width,height,dimensions_unit,supply_price,retail_price,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_380_Aubrey,inventory_380_Aubrey,reorder_point_380_Aubrey,reorder_quantity_380_Aubrey,min_quantity_380_Aubrey,max_quantity_380_Aubrey,outlet_tax_Anna,inventory_Anna,reorder_point_Anna,reorder_quantity_Anna,min_quantity_Anna,max_quantity_Anna,outlet_tax_Aubrey,inventory_Aubrey,reorder_point_Aubrey,reorder_quantity_Aubrey,min_quantity_Aubrey,max_quantity_Aubrey,outlet_tax_Bonham,inventory_Bonham,reorder_point_Bonham,reorder_quantity_Bonham,min_quantity_Bonham,max_quantity_Bonham,outlet_tax_Breckenridge,inventory_Breckenridge,reorder_point_Breckenridge,reorder_quantity_Breckenridge,min_quantity_Breckenridge,max_quantity_Breckenridge,outlet_tax_Burleson,inventory_Burleson,reorder_point_Burleson,reorder_quantity_Burleson,min_quantity_Burleson,max_quantity_Burleson,outlet_tax_Coit_Wake_n_Bake,inventory_Coit_Wake_n_Bake,reorder_point_Coit_Wake_n_Bake,reorder_quantity_Coit_Wake_n_Bake,min_quantity_Coit_Wake_n_Bake,max_quantity_Coit_Wake_n_Bake,outlet_tax_Commerce,inventory_Commerce,reorder_point_Commerce,reorder_quantity_Commerce,min_quantity_Commerce,max_quantity_Commerce,outlet_tax_Decatur,inventory_Decatur,reorder_point_Decatur,reorder_quantity_Decatur,min_quantity_Decatur,max_quantity_Decatur,outlet_tax_Eastland,inventory_Eastland,reorder_point_Eastland,reorder_quantity_Eastland,min_quantity_Eastland,max_quantity_Eastland,outlet_tax_Farmersville,inventory_Farmersville,reorder_point_Farmersville,reorder_quantity_Farmersville,min_quantity_Farmersville,max_quantity_Farmersville,outlet_tax_Graham,inventory_Graham,reorder_point_Graham,reorder_quantity_Graham,min_quantity_Graham,max_quantity_Graham,outlet_tax_Gresham,inventory_Gresham,reorder_point_Gresham,reorder_quantity_Gresham,min_quantity_Gresham,max_quantity_Gresham,outlet_tax_Henderson,inventory_Henderson,reorder_point_Henderson,reorder_quantity_Henderson,min_quantity_Henderson,max_quantity_Henderson,outlet_tax_Judson,inventory_Judson,reorder_point_Judson,reorder_quantity_Judson,min_quantity_Judson,max_quantity_Judson,outlet_tax_Just_Smoke_Aubrey,inventory_Just_Smoke_Aubrey,reorder_point_Just_Smoke_Aubrey,reorder_quantity_Just_Smoke_Aubrey,min_quantity_Just_Smoke_Aubrey,max_quantity_Just_Smoke_Aubrey,outlet_tax_Justin,inventory_Justin,reorder_point_Justin,reorder_quantity_Justin,min_quantity_Justin,max_quantity_Justin,outlet_tax_Kilgore,inventory_Kilgore,reorder_point_Kilgore,reorder_quantity_Kilgore,min_quantity_Kilgore,max_quantity_Kilgore,outlet_tax_Killeen,inventory_Killeen,reorder_point_Killeen,reorder_quantity_Killeen,min_quantity_Killeen,max_quantity_Killeen,outlet_tax_Leonard,inventory_Leonard,reorder_point_Leonard,reorder_quantity_Leonard,min_quantity_Leonard,max_quantity_Leonard,outlet_tax_Marshall,inventory_Marshall,reorder_point_Marshall,reorder_quantity_Marshall,min_quantity_Marshall,max_quantity_Marshall,outlet_tax_Marshall_I20,inventory_Marshall_I20,reorder_point_Marshall_I20,reorder_quantity_Marshall_I20,min_quantity_Marshall_I20,max_quantity_Marshall_I20,outlet_tax_McCann,inventory_McCann,reorder_point_McCann,reorder_quantity_McCann,min_quantity_McCann,max_quantity_McCann,outlet_tax_Mckinney,inventory_Mckinney,reorder_point_Mckinney,reorder_quantity_Mckinney,min_quantity_Mckinney,max_quantity_Mckinney,outlet_tax_Mineral_Wells,inventory_Mineral_Wells,reorder_point_Mineral_Wells,reorder_quantity_Mineral_Wells,min_quantity_Mineral_Wells,max_quantity_Mineral_Wells,outlet_tax_NEW_MARSHALL,inventory_NEW_MARSHALL,reorder_point_NEW_MARSHALL,reorder_quantity_NEW_MARSHALL,min_quantity_NEW_MARSHALL,max_quantity_NEW_MARSHALL,outlet_tax_Paris,inventory_Paris,reorder_point_Paris,reorder_quantity_Paris,min_quantity_Paris,max_quantity_Paris,outlet_tax_Princeton,inventory_Princeton,reorder_point_Princeton,reorder_quantity_Princeton,min_quantity_Princeton,max_quantity_Princeton,outlet_tax_Rowlett,inventory_Rowlett,reorder_point_Rowlett,reorder_quantity_Rowlett,min_quantity_Rowlett,max_quantity_Rowlett,outlet_tax_Tioga,inventory_Tioga,reorder_point_Tioga,reorder_quantity_Tioga,min_quantity_Tioga,max_quantity_Tioga,outlet_tax_Wake_N_Bake,inventory_Wake_N_Bake,reorder_point_Wake_N_Bake,reorder_quantity_Wake_N_Bake,min_quantity_Wake_N_Bake,max_quantity_Wake_N_Bake
2f3f29e2-9b80-48df-a3eb-b64dac764472,7-heaven,544,,,,0,,,,,,,,,,0,,LB,,,,IN,10,36.99,,,,RAVE,,1,1,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,12,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,12,,,,
53ae6264-51fe-4340-81e1-5e5429dc9970,091128912801,51858,,,,091128912801,,HOOKAH,,,,,,,HOOKAH,0,0,LB,0,0,0,IN,0,0.00,,,ZEBRA,5 Star,,1,1,Default Tax,0,,,,,Default Tax,8,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,
5ed35ab8-0f5d-4c12-9500-16378ae684a1,1000-blunts-,37299,,,,10.00 Blunts ,,,,,,,,,,0,,,,,,,1.5,10.00,,,,JUST SMOKE HQ,,1,1,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,-643,,,,,Default Tax,-48,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,-111,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,
ab54de3e-10e4-4891-90e3-e05291a4845e,101-hookha,6926608125706,,,,101 HOOKHA,,HOOKAH,COLOR,YELLOW,,,,,HOOKAH,0,,,,,,,0,29.99,,,,,,1,1,Default Tax,-1,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,1,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,
7424a65c-7509-43a1-bab2-5006fe5a3341,101-hookha,6926608125607,,,,101 HOOKHA,,HOOKAH,COLOR,BLUE,,,,,HOOKAH,0,,,,,,,0,29.99,,,,,,1,1,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,1,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,
86587c12-df5d-46da-a5a1-5e83cee59f64,101-hookha,6926608126314,,,,101 HOOKHA,,HOOKAH,COLOR,BLACK,,,,,HOOKAH,0,,,,,,,0,29.99,,,,,,1,1,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,1,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,
4ec2bbd0-55e6-4721-830e-8ed4db52aea6,11x-neon-butane,42839,,,,11x NEON BUTANE,,,,,,,,,,0,,,,,,,1.4,7.99,,,,RAVE,,1,1,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,-2,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,11,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,
57d33513-50a7-40c7-8021-143b438df401,14g-flower,601570148378,,,,14G Flower,,,,,,,,,,0,,,,,,,0,0.00,,,,RAVE,,1,1,Default Tax,1,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,
4142f4ce-d016-4d6a-a427-dcbd08d678c4,14g-shakekeif-flower,615629272655,,,,14g Shake&Keif Flower,,THC A FLOWER,STRAIN,Pink Runtz,,,,,14G;FLOWER;Shake,0,,,,,,,0,0.00,,,VOODOO,AVTX,,1,1,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,
baa03a90-ec1b-4951-a4f9-9f0c24b3721b,14g-shakekeif-flower,615629198047,,,,14g Shake&Keif Flower,,THC A FLOWER,STRAIN,Green Crack,,,,,14G;FLOWER;Shake,0,,,,,,,0,0.00,,,VOODOO,AVTX,,1,1,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,,Default Tax,0,,,,
